sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_bmasse_missing,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing,pl_bmasse_log,pl_rade_log,pl_orbper_log,pl_orbsmax_log,pl_eqt_log,sy_dist_log,st_mass_log,st_rad_log,st_teff_log
2,5,Radial Velocity,259.88,0.7708,2.4,47.8,0.08,903.0,Unknown,5172.0,0.94,0.91,0.35,4.43,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8877303128591016,1.2237754316221157,5.564060531481064,0.5714314218758489,6.806829360392176,2.609003047500976,0.6471032420585384,0.6626879730752367,8.551208070003515
1,1,Radial Velocity,919.86,2.028,2.4,597.83523,0.042,903.0,K0 IV,4941.0,4.94,1.32,-0.17,3.16,97.6960311,58.1611753,54.6599,5.87307,3.701,5.60686,0,1,0,0,0,0,0,0,0,0,0,0,0,6.394986485150139,1.2237754316221157,6.825308016014605,1.1079023355752025,6.806829360392176,4.019259959473781,0.8415671856782186,1.7817091333745536,8.505525386548555
1,3,Radial Velocity,4.215,0.050201,2.4,5.1,0.12,903.0,G5 V,5577.0,0.96,0.94,-0.01,4.34,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8082887711792655,1.2237754316221157,1.6515390884527357,0.04898157442074956,6.806829360392176,2.251641211239001,0.6626879730752367,0.6729444732424258,8.626585568187433
1,3,Radial Velocity,38.021,0.2175,2.4,18.2,0.14,903.0,G5 V,5577.0,0.96,0.94,-0.01,4.34,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052,0,1,0,0,0,0,0,0,0,0,0,0,0,2.954910279033736,1.2237754316221157,3.6640999627497135,0.1967995759746078,6.806829360392176,2.251641211239001,0.6626879730752367,0.6729444732424258,8.626585568187433
1,3,Radial Velocity,123.01,0.476,2.4,22.9,0.35,903.0,G5 V,5577.0,0.96,0.94,-0.01,4.34,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052,0,1,0,0,0,0,0,0,0,0,0,0,0,3.173878458937465,1.2237754316221157,4.820362207514681,0.3893357261782807,6.806829360392176,2.251641211239001,0.6626879730752367,0.6729444732424258,8.626585568187433
1,2,Radial Velocity,735.1,1.758,2.4,587.9855,0.06,903.0,Unknown,4826.0,4.87,1.34,0.21,3.19,99.171276,-19.2561808,19.8101,3.95,1.564,3.67853,0,1,0,0,0,0,0,0,0,0,0,0,0,6.378401565351955,1.2237754316221157,6.60136597906466,1.01450577937111,6.806829360392176,3.035438445776025,0.8501509293696101,1.7698546338400052,8.481980435660493
1,2,Radial Velocity,996.0,2.153,2.4,276.5121,0.08,903.0,Unknown,4826.0,4.87,1.34,0.21,3.19,99.171276,-19.2561808,19.8101,3.95,1.564,3.67853,0,1,0,0,0,0,0,0,0,0,0,0,0,5.625864535839483,1.2237754316221157,6.904750769961838,1.1483543805629237,6.806829360392176,3.035438445776025,0.8501509293696101,1.7698546338400052,8.481980435660493
1,1,Radial Velocity,116.688,0.481,2.4,2357.02728,0.3988,903.0,Unknown,5495.0,1.89,1.09,0.02,3.95,202.1064898,13.7763085,17.9011,4.96808,3.5,4.76178,0,1,0,0,0,0,0,0,1,0,0,0,0,7.765580650156773,1.2237754316221157,4.768037054947911,0.3927175352856617,6.806829360392176,2.939220121430182,0.7371640659767197,1.0612565021243408,8.611775833902186
2,2,Radial Velocity,696.62,1.912,2.4,787.89662,0.093,903.0,G3 III,4809.0,10.38,1.92,0.1,2.69,38.0391598,-1.0350269,82.9613,5.3532,3.207,5.09343,0,1,0,0,0,0,0,0,0,0,0,0,0,6.670635285645168,1.2237754316221157,6.547674541908572,1.0688401303344395,6.806829360392176,4.430355978396165,1.0715836162801904,2.431857428698185,8.478452363099807
2,2,Radial Velocity,2051.62,3.929,2.4,289.85951,0.023,903.0,G3 III,4809.0,10.38,1.92,0.1,2.69,38.0391598,-1.0350269,82.9613,5.3532,3.207,5.09343,0,1,0,0,0,0,0,0,0,0,0,0,0,5.672840367088859,1.2237754316221157,7.626872304903792,1.5951361277232408,6.806829360392176,4.430355978396165,1.0715836162801904,2.431857428698185,8.478452363099807
